Material Number,Manufacturer Name,Manufacturer Article Number,Type Code,Short Text,Plant,Storage Location,Storage Bin,Technical Drawing Number,Technical Parameters,Remark 1,GTIN,SPARETECH ID,eClass [10.1],Storage Location,MRP Type_VB_ND,Purchasing Group,Valuation Class,Order Quantity_HB_FX,Fixed Order Quantity,Minimum Stock,Current Inventory Level,Maximum Quantity,Reorder Level,Base Unit of Measure,Purchase Order Text,Supplier Name,Supplier Article Number,Time Of Delivery,Price,MRP Type,Purchasing Value Key,Quantity Functional Location,Technical Location,Quantity Technical Location,Equipment,Quantity Equipment,Purchased Part/In-House Production,Language,Remark 2,New Creation ID
ERSA000460,TUENKERS,301437,LE 60 100 VRL T02,PNEUMATIC LINEAR UNIT,Buenoes Aires,0020-PL15,E440,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,0,1,PC,PNEUMATIC LINEAR UNIT 301437 TUENKERS,,,,0,ZA,,,2158,1,48568 | 55879,0 I 1,Purchased Part,EN,,
ERSA000461,TUENKERS,203271,K 50/63,SPRING,Mexico City,0020-EF50,K780,,,,,,,0020-PL15,VB,568,6020,HB,1,,,3,1,PC,SPRING 203271 TUENKERS,,,,0,ZA,,,2479,2,56588,8,Purchased Part,EN,,
ERSA000462,Bosch Rexroth AG,R192111931,,track roller rail 20 R192111931,Cape Town,0020-PF90,606028,,,,,,,0020-EF50,VB,568,6020,FX,2,,,5,1,PC,track roller rail 20 R192111931 R192111931 Bosch Rexroth AG,,,,0,ZA,,,1842,3,78836,11,Purchased Part,EN,,
ERSA000463,igus,250.07.075.0,,Energy chain series 250.07.075.0,Chicago,0020-PL15|0020-EF50|0020-PF90,606029,,,,,,,0020-PF90,VB,568,6020,HB,3,,,3,1,PC,Energy chain series 250.07.075.0 250.07.075.0 igus,,,,159.54,ZA,,,1061,1,55885,7,Purchased Part,EN,,
ERSA000464,SMC,Signalgeber BJ3-1,,Signal transmitter,Mexico City,0020-PL15|0020-EF50,606030,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,1,,,5,1,PC,Signal transmitter Signalgeber BJ3-1 SMC,,,,0,ZA,,,3954,2,77557,1,Purchased Part,EN,,
ERSA000465,TUENKERS,257618,5 251 913,8-KT PROFILE SW 50,Mexico City,0020-EF50|0020-PF90,606031,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,2,,,4,1,PC,8-KT PROFILE SW 50 257618 TUENKERS,,,,0,ZA,,,4876,3,15986,1,Purchased Part,EN,,
ERSA000466,Rittal GmbH & Co. KG,SV 9343.210,,NH FUSE SWITCH DISCONNECTOR,Stuttgart,0020-PL15,606019,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,0,1,PC,NH FUSE SWITCH DISCONNECTOR SV 9343.210 Rittal GmbH & Co. KG,,,,0,ZA,,,2237,1,15796,1,Purchased Part,EN,,
ERSA000467,Balluff GmbH,BES02K5,BES M12ML-PSC80E-S04G-W,Ini Bal BES M12ML-PSC80E-SO4G-W,Stuttgart,0020-EF50,606020,,,,,,,0020-PL15,VB,568,6020,HB,2,,,3,1,PC,Ini Bal BES M12ML-PSC80E-SO4G-W BES02K5 Balluff GmbH,,,,0,ZA,,,2243,2,45863,2,Purchased Part,EN,,
ERSA000468,MURR ELEKTRON,85000,EVOLUTION5,POWER SUPPLY UNIT ACC. TO#I117813,Chicago,0020-PF90,K780,,,,,,,0020-EF50,VB,568,6020,HB,1,,,3,1,PC,POWER SUPPLY UNIT ACC. TO#I117813 85000 MURR ELEKTRON,,,,0,ZA,,,1537,3,48576,8,Purchased Part,EN,,
ERSA000469,PHOENIX CONTACT GmbH & Co. KG,2744458,PSM-ME-RS232/TTY-P,INTERFACE CONVERTER,Mexico City,0020-PL15|0020-EF50|0020-PF90,606028,,,,,,,0020-PF90,VB,568,6020,FX,2,,,5,1,PC,INTERFACE CONVERTER 2744458 PHOENIX CONTACT GmbH & Co. KG,,,,0,ZA,,,4290,1,15579,9,Purchased Part,EN,,
ERSA000470,Bosch Rexroth AG,R901274737,,check valve Z1S 10 P30-1-4X/F,Tokyo,0020-PL15|0020-EF50,606029,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,FX,2,,,2,1,PC,check valve Z1S 10 P30-1-4X/F R901274737 Bosch Rexroth AG,,,,0,ZA,,,2511,2,45578,4,Purchased Part,EN,,
ERSA000471,igus,ZLW-1040-02-S-100-R-700,,Toothed belt axis Festo ZLW-1040-02-S-100,Cape Town,0020-EF50|0020-PF90,606030,,,,,,,0020-PL15|0020-EF50,VB,568,6020,HB,2,,,4,1,PC,Toothed belt axis Festo ZLW-1040-02-S-100 ZLW-1040-02-S-100-R-700 igus,,,,0,ZA,,,1865,3,36598,3,Purchased Part,EN,,
ERSA000472,Bosch Rexroth AG,R928005873,,"filter element Rexroth, R928005873",Chicago,0020-PL15,606031,,,,,,,0020-EF50|0020-PF90,VB,568,6020,FX,3,,,2,1,PC,"filter element Rexroth, R928005873 R928005873 Bosch Rexroth AG",,,,0,ZA,,,1292,1,12678,8,Purchased Part,EN,,
ERSA000473,PHOENIX CONTACT GmbH & Co. KG,1405387,VS-PPC-J-4X-1227,POWER DISTRIBUTOR,Toronto,0020-EF50,606019,,,,,,,0020-PL15,VB,568,6020,HB,3,,,0,1,PC,POWER DISTRIBUTOR 1405387 PHOENIX CONTACT GmbH & Co. KG,,,,0,ZA,,,3093,2,12576,9,Purchased Part,EN,,
ERSA000474,Hans Turck Gmbh & Co. KG,69472,BSN 18,MOUNTING CLAMP,Mexico City,0020-PF90,606020,,,,,,,0020-EF50,VB,568,6020,FX,3,,,2,1,PC,MOUNTING CLAMP 69472 Hans Turck Gmbh & Co. KG,,,,0,ZA,,,4828,3,257968,4,Purchased Part,EN,,
ERSA000475,SMC,D-A93,Cylinder switch SMC D-A93,Cylinder switch,Mexico City,0020-PL15|0020-EF50|0020-PF90,0012L02007,,,,,,,0020-PF90,VB,568,6020,FX,1,,,5,1,PC,Cylinder switch D-A93 SMC,,,,0,ZA,,,1763,1,12546,1,Purchased Part,EN,,
ERSA000476,IGUS,E08.20.028.0,,"Energy chain, E08.20.028.0",Buenoes Aires,0020-PL15|0020-EF50,0012L02043,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,2,,,5,1,PC,"Energy chain, E08.20.028.0 E08.20.028.0 IGUS",,,,80.88,ZA,,,3314,2,478562,1,Purchased Part,EN,,
ERSA000477,Balluff,BCS00LK,BCS M18B4N1-PSC80D-EP02,Sensor,Buenoes Aires,0020-EF50|0020-PF90,0012L02007,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,3,,,5,1,PC,Sensor BCS00LK Balluff,,,,76.22,ZA,,,4716,3,7854|7858|66986,0 I 1,Purchased Part,EN,,
ERSA000478,SMC,CQ2B40-100DZ,Compact cylinder CQ2B40-100DZ,Compact cylinder,Stuttgart,0020-PL15,0012L02007,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,2,,,3,1,PC,Compact cylinder CQ2B40-100DZ SMC,,,,0,ZA,,,2018,1,867936,2,Purchased Part,EN,,
ERSA000479,Balluff,BES 516-346-H2-Y-S4,BES01FE,Sensor,Mexico City,0020-EF50,0012L02013,,,,,,,0020-PL15,VB,568,6020,HB,2,,,5,1,PC,Sensor BES 516-346-H2-Y-S4 Balluff,,,,0,ZA,,,2690,1,6589|7854,5 I 3,Purchased Part,EN,,
ERSA000480,Balluff GmbH,BOS01UM,BOS 12M-PA-RF10-S4,Light sensor Bal BOS 12M-PS-1N1I-S4-C,Buenoes Aires,0020-PF90,0012L01014,,,,,,,0020-EF50,VB,568,6020,FX,2,,,2,1,PC,Light sensor Bal BOS 12M-PS-1N1I-S4-C BOS01UM Balluff GmbH,,,,0,ZA,,,3841,2,458796|785625,2 I 4,Purchased Part,EN,,
ERSA000481,MURR,7000-23311-3631500,,CONNECTING CABLE,Chicago,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PF90,VB,568,6020,HB,1,,,0,1,PC,CONNECTING CABLE 7000-23311-3631500 MURR,,,,0,ZA,,,3596,3,48568 | 55879,0 I 1,Purchased Part,EN,,
ERSA000482,SMC,SMC AS2201F-01-06S,,,Cape Town,0020-PL15|0020-EF50,0012L01014,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,3,,,5,1,PC, SMC AS2201F-01-06S SMC,,,,0,ZA,,,3393,1,48568 | 55879,0 I 3,Purchased Part,EN,,
ERSA000483,WAGO Kontakttechnik,750-550,,"2AO BUS CLAMP 0-10V DC ; 0,08-2,5mm²",Stuttgart,0020-EF50|0020-PF90,0012L02028,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,2,,,3,1,PC,"2AO BUS CLAMP 0-10V DC ; 0,08-2,5mm² 750-550 WAGO Kontakttechnik",,,,1.88,ZA,,,3403,2,48568 | 55879,5 I 3,Purchased Part,EN,,
ERSA000484,SMC,CQ2B-12-5 D,Valve CQ2B-12-5 D,valve,Mexico City,0020-PL15,0012L02008,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,1,1,PC,valve CQ2B-12-5 D SMC,,,,0,ZA,,,3274,3,56588,8,Purchased Part,EN,,
ERSA000485,Hans Turck Gmbh & Co. KG,6626025,WKC4.4T-P7X2-0.6-RSC4.4T/TXL,ACTUATOR AND SENSOR CABLE,Chicago,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6020,FX,3,,,2,1,PC,ACTUATOR AND SENSOR CABLE 6626025 Hans Turck Gmbh & Co. KG,,,,71.56,ZA,,,3159,1,78836,8,Purchased Part,EN,,
ERSA000486,TUENKERS,351746,SZVD 32 T12,INTERROGATION SET CPL.,Stuttgart,0020-PF90,0012L01014,,,,,,,0020-EF50,VB,568,6020,FX,3,,,3,1,PC,INTERROGATION SET CPL. 351746 TUENKERS,,,,0,ZA,,,4985,2,55885,1,Purchased Part,EN,,
ERSA000487,Rittal,SK 3238.100,,Filter fan Rittal,Cape Town,0020-PL15|0020-EF50|0020-PF90,B450,,,,,,,0020-PF90,VB,568,6020,HB,1,,,2,1,PC,Filter fan Rittal SK 3238.100 Rittal,,,,0,ZA,,,1274,3,77557,4,Purchased Part,EN,,
ERSA000488,Rittal,TS-TS 8611.370,,door interlock TS-TS 8611.370,Cape Town,0020-PL15|0020-EF50,Z356,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,2,,,0,1,PC,door interlock TS-TS 8611.370 TS-TS 8611.370 Rittal,,,,0,ZA,,,1090,1,15986,8,Purchased Part,EN,,
ERSA000489,Norelem,33058-565,,"measuring insert, carbide, 33058-565",Tokyo,0020-EF50|0020-PF90,G690,,,,,,,0020-PL15|0020-EF50,VB,568,6020,HB,3,,,4,1,PC,"measuring insert, carbide, 33058-565 33058-565 Norelem",,,,0,ZA,,,3275,2,15796,11,Purchased Part,EN,,
ERSA000490,SMC,00015305,Cylinder CDUK6-5D,Cylinder,Toronto,0020-PL15,F340,,,,,,,0020-EF50|0020-PF90,VB,568,6020,FX,3,,,0,1,PC,Cylinder 00015305 SMC,,,,0,ZA,,,2795,3,45863,20,Purchased Part,EN,,
ERSA000491,Turck,46065,,Sensor,Mexico City,0020-EF50,L900,,,,,,,0020-PL15,VB,568,6020,FX,2,,,2,1,PC,Sensor 46065 Turck,,,,0,ZA,,,2174,1,48576,6,Purchased Part,EN,,
ERSA000492,Balluff,BOS 01KW,BOS 6K PU-RH10-S49,Light sensor,Tokyo,0020-PF90,D470,,,,,,,0020-EF50,VB,568,6020,FX,1,,,3,1,PC,Light sensor BOS 01KW Balluff,,,,0,ZA,,,1098,2,15579,3,Purchased Part,EN,,
ERSA000493,WAGO Kontakttechnik,2002-2291,,End plate B=0.8 2002-2291,Toronto,0020-PL15|0020-EF50|0020-PF90,H230,,,,,,,0020-PF90,VB,568,6020,HB,3,,,4,1,PC,End plate B=0.8 2002-2291 2002-2291 WAGO Kontakttechnik,,,,0,ZA,,,4463,3,45578,3,Purchased Part,EN,,
ERSA000494,Bosch Rexroth AG,R161340000,,Radial Compact set KB-RCS-E-40-VD,Tokyo,0020-PL15|0020-EF50,A168,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,FX,1,,,5,1,PC,Radial Compact set KB-RCS-E-40-VD R161340000 Bosch Rexroth AG,,,,0,ZA,,,1715,1,36598,3,Purchased Part,EN,,
ERSA000495,Rittal,SZ4127.010,,DOOR POSITION SWITCH SZ4127.010,Toronto,0020-EF50|0020-PF90,C560,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,3,,,1,1,PC,DOOR POSITION SWITCH SZ4127.010 SZ4127.010 Rittal,,,,0,ZA,,,3353,2,12678,1,Purchased Part,EN,,
ERSA000496,Turck,4281150,,Proximity switch,Toronto,0020-PL15,E440,,,,,,,0020-EF50|0020-PF90,VB,568,6020,FX,1,,,4,1,PC,Proximity switch 4281150 Turck,,,,0,ZA,,,3740,3,12576,1,Purchased Part,EN,,
ERSA000497,igus,TR.70.01,,IGUS connection element with strain relief,Stuttgart,0020-EF50,K780,,,,,,,0020-PL15,VB,568,6020,HB,3,,,3,1,PC,IGUS connection element with strain relief TR.70.01 igus,,,,0,ZA,,,2869,1,257968,2,Purchased Part,EN,,
ERSA000498,SEW-EURODRIVE GmbH & Co. KG,8279853,MDX61B0370-503-4-0T/DEH21B/DFS,INVERTER 37KW MDX61B0370-50,Chicago,0020-PF90,606028,,,,,,,0020-EF50,VB,568,6020,FX,1,,,5,1,PC,INVERTER 37KW MDX61B0370-50 8279853 SEW-EURODRIVE GmbH & Co. KG,,,,0,ZA,,,1753,2,12546,2,Purchased Part,EN,,
ERSA000499,Phoenix Contact,2866750,"Power supply, QUINT-PS/1AC/24DC/5",Power supply,Toronto,0020-PL15|0020-EF50|0020-PF90,606029,,,,,,,0020-PF90,VB,568,6020,HB,1,,,0,1,PC,Power supply 2866750 Phoenix Contact,,,,0,ZA,,,1309,3,478562,2,Purchased Part,EN,,
ERSA000500,TURCK,1634869,SENSOR BI4U-M12E-VP44X-H1141,sensor,Toronto,0020-PL15|0020-EF50,606030,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,3,,,3,1,PC,sensor 1634869 TURCK,,,,0,ZA,,,2878,1,7854|7858|66986,0 I 1,Purchased Part,EN,,
ERSA000501,PHOENIX CONTACT GmbH & Co. KG,1607231,RF-12P1N8A90DU,COUPLING CONNECTOR M23,Tokyo,0020-EF50|0020-PF90,606031,,,,,,,0020-PL15|0020-EF50,VB,568,6020,HB,2,,,3,1,PC,COUPLING CONNECTOR M23 1607231 PHOENIX CONTACT GmbH & Co. KG,,,,0,ZA,,,3577,2,867936,6,Purchased Part,EN,,
ERSA000502,igus,WSM-0810-15,,"plain bearing, WSM-0810-15",Mexico City,0020-PL15,606019,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,4,1,PC,"plain bearing, WSM-0810-15 WSM-0810-15 igus",,,,7.21,ZA,,,3918,3,6589|7854,0 I 1,Purchased Part,EN,,
ERSA000503,Norelem,08910-A1010X12,,"collar bushing, 10.1 x 18 x 12 mm",Mexico City,0020-EF50,606020,,,,,,,0020-PL15,VB,568,6020,HB,3,,,5,1,PC,"collar bushing, 10.1 x 18 x 12 mm 08910-A1010X12 Norelem",,,,5.85,ZA,,,2901,1,458796|785625,2 I 4,Purchased Part,EN,,
ERSA000504,Phoenix Contact,2819574,IBILSSI-IN-PAC,Acquisition terminal,Stuttgart,0020-PF90,??,,,,,,,0020-EF50,VB,568,6020,HB,3,,,3,1,PC,Acquisition terminal 2819574 Phoenix Contact,,,,1.27,ZA,,,2632,2,48568 | 55879,5 I 3,Purchased Part,EN,,
ERSA000505,Balluff,BES000M,BES M08EB-PSC40F-S49G,Sensor,Buenoes Aires,0020-PL15|0020-EF50,0,,,,,,,0020-PF90,VB,568,6020,FX,3,,,0,1,PC,Sensor BES000M Balluff,,,,98.44,ZA,,,1157,3,48568 | 55879,0 I 1,Purchased Part,EN,,
ERSA000507,Bosch Rexroth AG,R900025102,,Kantseal seal R900025102,Stuttgart,0020-EF50|0020-PF90,,,,,,,,0020-PL15|0020-EF50,VB,568,6020,HB,1,,,5,1,PC,Kantseal seal R900025102 R900025102 Bosch Rexroth AG,,,,0,ZA,,,1727,1,56588,10,Purchased Part,EN,,
ERSA000508,Norelem,03106-122,,"Locating bolt, form D, D :12 mm (flat)",Tokyo,0020-PL15,,,,,,,,0020-EF50|0020-PF90,VB,568,6020,FX,2,,,5,1,PC,"Locating bolt, form D, D :12 mm (flat) 03106-122 Norelem",,,,7.36,ZA,,,1560,2,78836,5,Purchased Part,EN,,
ERSA000509,IGUS,GSM-3539-25,,PLAIN BEARING GSM-3539-25,Chicago,0020-EF50,0012L02007,,,,,,,0020-PL15,VB,568,6020,FX,2,,,1,1,PC,PLAIN BEARING GSM-3539-25 GSM-3539-25 IGUS,,,,3.24,ZA,,,1126,3,55885,8,Purchased Part,EN,,
ERSA000510,Bosch Rexroth AG,R900347495,,Check valve Z2S 6-1-6X/,Tokyo,0020-PF90,0012L02043,,,,,,,0020-EF50,VB,568,6020,HB,1,,,5,1,PC,Check valve Z2S 6-1-6X/ R900347495 Bosch Rexroth AG,,,,0,ZA,,,1126,1,77557,8,Purchased Part,EN,,
ERSA000511,IGUS,E6.52.050.075.0,,Energy chain series E6.52 length 2500mm,Toronto,0020-PL15|0020-EF50|0020-PF90,0012L02007,,,,,,,0020-PF90,VB,568,6020,HB,3,,,2,1,PC,Energy chain series E6.52 length 2500mm E6.52.050.075.0 IGUS,,,,91.23,ZA,,,1562,2,15986,8,Purchased Part,EN,,
ERSA000512,ifm electronic,IGR200,IGK3006BBPKG/AM/SC/US-104,sensor IGK3006BBPKG/AM/SC/US-104-DPS,Toronto,0020-EF50|0020-PF90,0012L02007,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,1,,,3,1,PC,sensor IGK3006BBPKG/AM/SC/US-104-DPS IGR200 ifm electronic,,,,86.1,ZA,,,2447,3,15796,2,Purchased Part,EN,,
ERSA000514,Phoenix Contact,1668234,SAC-4P- 3.0-PUR/M12FR,Sensor cable,Tokyo,0020-PL15,0012L02013,,,,,,,0020-EF50|0020-PF90,VB,568,6020,FX,1,,,1,1,PC,Sensor cable 1668234 Phoenix Contact,,,,0,ZA,,,3497,1,48576,11,Purchased Part,EN,,
ERSA000515,SMC,CDQ2WB63TF_30DZ,Compact cylinder CDQ2WB63TF_30DZ,Compact cylinder,Buenoes Aires,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6020,FX,2,,,4,1,PC,Compact cylinder CDQ2WB63TF_30DZ SMC,,,,0,ZA,,,4849,2,15579,3,Purchased Part,EN,,
ERSA000516,MURR ELEKTRONIK,7000-12041-0550500,M12 ST. 0 FREE LTG. END,CONNECTING CABLE,Stuttgart,0020-PF90,0012L01014,,,,,,,0020-EF50,VB,568,6020,HB,2,,,0,1,PC,CONNECTING CABLE 7000-12041-0550500 MURR ELEKTRONIK,,,,0,ZA,,,4039,3,45578,3,Purchased Part,EN,,
ERSA000517,SMC,CDU20-20 D,Pneu. Cylinder CDU20-20 D,Pneu. Cylinder,Mexico City,0020-PL15|0020-EF50|0020-PF90,0012L01014,,,,,,,0020-PF90,VB,568,6020,FX,2,,,3,1,PC,Pneu. Cylinder CDU20-20 D SMC,,,,0,ZA,,,4710,1,36598,1,Purchased Part,EN,,
ERSA000518,TUENKERS  MASCHINENBAU,257617,EGT001,8-KT PROFILE SW 80,Stuttgart,0020-PL15|0020-EF50,0012L02028,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,FX,3,,,3,1,PC,8-KT PROFILE SW 80 257617 TUENKERS  MASCHINENBAU,,,,0,ZA,,,3305,2,12678,1,Purchased Part,EN,,
ERSA000519,MURR ELEKTRON,7000083210000000 3POLIG M8 GER,MOSA,ROUND CONNECTOR,Stuttgart,0020-EF50|0020-PF90,0012L02008,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,2,,,1,1,PC,ROUND CONNECTOR 7000083210000000 3POLIG M8 GER MURR ELEKTRON,,,,0,ZA,,,4499,3,12576,1,Purchased Part,EN,,
ERSA000520,Bosch Rexroth AG,R 928006054,,FILTER ELEMENT 2.0004 H20XL-A00-0-M,Stuttgart,0020-PL15,0012L01014,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,0,1,PC,FILTER ELEMENT 2.0004 H20XL-A00-0-M R 928006054 Bosch Rexroth AG,,,,0,ZA,,,4202,1,257968,2,Purchased Part,EN,,
ERSA000521,Bosch Rexroth AG,R900347504,,Check valve Z2S 6-1-6X/V,Buenoes Aires,0020-EF50,0012L01014,,,,,,,0020-PL15,VB,568,6020,FX,2,,,2,1,PC,Check valve Z2S 6-1-6X/V R900347504 Bosch Rexroth AG,,,,0,ZA,,,1176,2,12546,8,Purchased Part,EN,,
ERSA000522,SMC,D-A73,SMC Sensor D-A73,SMC Sensor D-A73,Cape Town,0020-PF90,B450,,,,,,,0020-EF50,VB,568,6020,FX,3,,,3,1,PC,SMC Sensor D-A73 D-A73 SMC,,,,0,ZA,,,1904,3,478562,9,Purchased Part,EN,,
ERSA000523,Rittal,3304540,SK3304540,Cooling unit,Stuttgart,0020-PL15|0020-EF50|0020-PF90,Z356,,,,,,,0020-PF90,VB,568,6020,HB,3,,,2,1,PC,Cooling unit 3304540 Rittal,,,,0,ZA,,,2782,1,7854|7858|66986,1 I 2 I 4,Purchased Part,EN,,
ERSA000524,ifm,O7H202,O7H-HPKG/0.20M/AS,Reflex light sensor,Mexico City,0020-PL15|0020-EF50,G690,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,1,,,2,1,PC,Reflex light sensor O7H202 ifm,,,,0,ZA,,,2045,2,867936,5,Purchased Part,EN,,
ERSA000525,Phoenix Contact,2903264,Antenna cable RAD-PIG-RSMA/N-1 N156337,Antenna cable,Mexico City,0020-EF50|0020-PF90,F340,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,2,,,0,1,PC,Antenna cable 2903264 Phoenix Contact,,,,0,ZA,,,3204,3,6589|7854,0 I 3,Purchased Part,EN,,
ERSA000526,Bosch Rexroth AG,R166619320,,Guide carriage CS KWD-015-SKS-C0-H-1,Stuttgart,0020-PL15,L900,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,3,,,2,1,PC,Guide carriage CS KWD-015-SKS-C0-H-1 R166619320 Bosch Rexroth AG,,,,0,ZA,,,2779,1,458796|785625,0 I 1,Purchased Part,EN,,
ERSA000527,ifm,OH5017,OHH-HPKG/0.20M/AS,Reflection light,Chicago,0020-EF50,D470,,,,,,,0020-PL15,VB,568,6020,HB,1,,,0,1,PC,Reflection light OH5017 ifm,,,,0,ZA,,,3425,2,48568 | 55879,5 I 3,Purchased Part,EN,,
ERSA000528,TUENKERS,277256,SZKD 63.5 T12 60HUB,SCANNING SET CPL.,Tokyo,0020-PF90,H230,,,,,,,0020-EF50,VB,568,6020,HB,2,,,5,1,PC,SCANNING SET CPL. 277256 TUENKERS,,,,0,ZA,,,4330,3,48568 | 55879,0 I 1,Purchased Part,EN,,
ERSA000529,WAGO,750-600,,Bus end terminal 750-600,Toronto,0020-PL15|0020-EF50|0020-PF90,A168,,,,,,,0020-PF90,VB,568,6020,HB,1,,,5,1,PC,Bus end terminal 750-600 750-600 WAGO,,,,1.67,ZA,,,3181,1,48568 | 55879,2 I 4,Purchased Part,EN,,
ERSA000530,Phoenix Contact,2903263,Antenna cable RAD-PIG-RSMA/N-0.5 N156336,Antenna cable,Tokyo,0020-PL15|0020-EF50,C560,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,2,,,4,1,PC,Antenna cable 2903263 Phoenix Contact,,,,0,ZA,,,4825,2,56588,4,Purchased Part,EN,,
ERSA000531,MURR,7000-08121-6501000,,ROUND CONNECTOR ANGLED,Buenoes Aires,0020-EF50|0020-PF90,E440,,,,,,,0020-PL15|0020-EF50,VB,568,6020,HB,2,,,1,1,PC,ROUND CONNECTOR ANGLED 7000-08121-6501000 MURR,,,,0,ZA,,,3402,3,78836,10,Purchased Part,EN,,
ERSA000532,ifm,IW5051,IW-3005-BPKG,sensor,Toronto,0020-PL15,K780,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,4,1,PC,sensor IW5051 ifm,,,,71.56,ZA,,,1919,1,55885,1,Purchased Part,EN,,
ERSA000533,TUENKERS,235943,K 40.1 A12 - V 40 A12 AND,CLAMPING ARM COMPLETE,Buenoes Aires,0020-EF50,606028,,,,,,,0020-PL15,VB,568,6020,FX,1,,,4,1,PC,CLAMPING ARM COMPLETE 235943 TUENKERS,,,,0,ZA,,,1393,2,77557,1,Purchased Part,EN,,
ERSA000534,Norelem,03090-2105,,"locking bolt, size 1 form B",Toronto,0020-PF90,606029,,,,,,,0020-EF50,VB,568,6020,HB,2,,,5,1,PC,"locking bolt, size 1 form B 03090-2105 Norelem",,,,8.05,ZA,,,1708,3,15986,1,Purchased Part,EN,,
ERSA000535,ifm electronic,O1D100,,optical distance sensor O1D100,Cape Town,0020-PL15|0020-EF50|0020-PF90,606030,,,,,,,0020-PF90,VB,568,6020,FX,2,,,5,1,PC,optical distance sensor O1D100 O1D100 ifm electronic,,,,98.44,ZA,,,2121,1,15796,2,Purchased Part,EN,,
ERSA000536,Balluff,BES000M,BES M08EB-PSC40F-S49G,sensor,Mexico City,0020-PL15|0020-EF50,606031,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,1,,,3,1,PC,sensor BES000M Balluff,,,,85.33,ZA,,,2682,2,45863,8,Purchased Part,EN,,
ERSA000537,Turck,26210,Sensor BC5-Q08-AP6X2-V1131/S250,Sensor,Toronto,0020-EF50|0020-PF90,606019,,,,,,,0020-PL15|0020-EF50,VB,568,6020,FX,2,,,0,1,PC,Sensor 26210 Turck,,,,76.22,ZA,,,2211,3,48576,9,Purchased Part,EN,,
ERSA000538,Harting,9200032611,Han 3 A pin insert 09200032611,Pin insert,Toronto,0020-PL15,606020,,,,,,,0020-EF50|0020-PF90,VB,568,6020,HB,1,,,3,1,PC,Pin insert 9200032611 Harting,,,,0,ZA,,,3137,1,15579,4,Purchased Part,EN,,
ERSA000539,Bosch Rexroth AG,3 842 521 120,,Housing upper part 3842521120,Stuttgart,0020-EF50,K780,,,,,,,0020-PL15,VB,568,6020,FX,3,,,0,1,PC,Housing upper part 3842521120 3 842 521 120 Bosch Rexroth AG,,,,0,ZA,,,3587,2,45578,3,Purchased Part,EN,,
ERSA000540,RITTAL,910022840,,Filter fan,Buenoes Aires,0020-PF90,606028,,,,,,,0020-EF50,VB,568,6020,HB,3,,,0,1,PC,Filter fan 910022840 RITTAL,,,,111.06,ZA,,,3672,3,36598,5,Purchased Part,EN,,
ERSA000541,Balluff,BOS00WW,,Through-beam sensor,Chicago,0020-PL15|0020-EF50|0020-PF90,606029,,,,,,,0020-PF90,VB,568,6020,HB,1,,,4,1,PC,Through-beam sensor BOS00WW Balluff,,,,0,ZA,,,3527,1,12678,2,Purchased Part,EN,,
ERSA000542,Rittal GmbH & Co. KG,3238100 - DÜRR NR: F10030028,SK 3238.100,SK FILTERFAN,Stuttgart,0020-PL15|0020-EF50,606030,,,,,,,0020-PL15|0020-EF50|0020-PF90,VB,568,6020,HB,2,,,2,1,PC,SK FILTERFAN 3238100 - DÜRR NR: F10030028 Rittal GmbH & Co. KG,,,,130.45,ZA,,,3060,2,12576,1,Purchased Part,EN,,
